Startup;Fonds;Geschlecht;Titel;Vorname;Nachname;Land
Versantis AG;Redalpine Capital S.C.S., SICAR III;;;Meriam;Kabbaj;Schweiz
Virtuo Technologies SAS;Alpha Intelligence Capital Fund 1;Herr;;Karim;Kaddoura;Frankreich
Virtuo Technologies SAS;Alpha Intelligence Capital Fund 1;Herr;;Thibault;Chassagne;Frankreich
Volley Inc;BITKRAFT Ventures Opportunity Fund I, L.P;"";"";"";"";""
WIZZCAD;JOIN Capital Fund I GmbH & Co. KG;;;Marc;Germain;Frankreich
WIZZCAD;JOIN Capital Fund I GmbH & Co. KG;;;Cyril;Perrin;Frankreich
Wasp Inc.;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
WeMeta;Greenfield One III GmbH & Co. KG;Herr;;Winston;Robson;Vereinigte Staaten von Amerika (USA)
WeMeta;Greenfield One III GmbH & Co. KG;Herr;;Ali;Vira;Vereinigte Staaten von Amerika (USA)
WeMeta;Greenfield One III GmbH & Co. KG;Herr;;Nick;Brons;Vereinigte Staaten von Amerika (USA)
WeWeb;42CAP II GmbH & Co. KG;;;Raphaël;Goldsztejn;Frankreich
WeWeb;42CAP II GmbH & Co. KG;;;Florian;Briou;Frankreich
Welinq;Quantonation I FPCI;"";"";"";"";""
Whaly Inc.;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
