Startup;Fonds;Geschlecht;Titel;Vorname;Nachname;Land
Picterra S.A.;Join Capital Fund II GmbH & Co KG;Herr;;Frank;de Morsier;Schweiz
Picterra S.A.;Join Capital Fund II GmbH & Co KG;Herr;;Pierrick;Poulenas;Schweiz
Pixel Photonics;Quantonation I FPCI;Herr;;Nicolai;Walter;Deutschland
Pixel Photonics;Quantonation I FPCI;Herr;;Wladick;Hartmann;Deutschland
Pixel Photonics;Quantonation I FPCI;Herr;;Fabian;Beutel;Deutschland
Pixel Photonics;Quantonation I FPCI;Herr;;Martin;Wolff;Deutschland
Pixel Photonics;Quantonation I FPCI;Herr;;Christoph;Seidenstücker;Deutschland
PlayBrain;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Mike;Sheetal;Japan
Playable Worlds Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Raph;Koster;Vereinigte Staaten von Amerika (USA)
Playable Worlds Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Eric;Goldberg;Vereinigte Staaten von Amerika (USA)
PocketzWorld, Inc (Highrise);BITKRAFT Ventures Opportunity Fund I, L.P;Herr;;David;Lovatt;Vereinigte Staaten von Amerika (USA)
PocketzWorld, Inc (Highrise);BITKRAFT Ventures Opportunity Fund I, L.P;Herr;;David;Lovatt;Vereinigte Staaten von Amerika (USA)
Polygon;a16z - CNK Fund IV, L.P.;Herr;;Anurag;Arjun;India
Polygon;a16z - CNK Fund IV, L.P.;Herr;;Jaynti;Kanani;India
Polygon;a16z - CNK Fund IV, L.P.;Herr;;Mihailo;Bielic;India
Polygon;a16z - CNK Fund IV, L.P.;Herr;;Sandeep;Nailwal;India
Popgun Labs Pty Ltd (dba Splash);BITKRAFT Ventures Fund II, L.P.;Herr;;Stephen;Phillips;Australien
Popgun Labs Pty Ltd (dba Splash);BITKRAFT Ventures Fund II, L.P.;Herr;;Adam;Hibble;Australien
Potrero Labs Inc.;a16z - CNK Seed Fund I, L.P.;"";"";"";"";""
Probably Nothing Inc. (DISCO);BITKRAFT Ventures Fund II, L.P.;Frau;;Evin;McMullen;""
Probably Nothing Inc. (DISCO);BITKRAFT Ventures Fund II, L.P.;Herr;;Justin;Connor;""
Probo Media Technologies Private Limited;Honeystone Ventures Fund LP;Herr;;Sachin;Gupta;India
Probo Media Technologies Private Limited;Honeystone Ventures Fund LP;Herr;;Ashish;Garg;India
Prodsmart;JOIN Capital Fund I GmbH & Co. KG;;;Gonçalo;Fortes;Portugal
Proof Holdings;a16z - CNK Fund IV, L.P.;"";"";"";"";""
Proscia Inc.;Alpha Intelligence Capital Fund 1;Herr;;Coleman;Stavish;Vereinigte Staaten von Amerika (USA)
Proscia Inc.;Alpha Intelligence Capital Fund 1;Herr;;David;West;Vereinigte Staaten von Amerika (USA)
Proscia Inc.;Alpha Intelligence Capital Fund 1;Herr;;Nathan;Buchbinder;Vereinigte Staaten von Amerika (USA)
Provenance;Nordic Eye II SCSp;Herr;;Jessi;Baker;Groß-Britanien (UK)
Proxyclick;JOIN Capital Fund I GmbH & Co. KG;;;Gregory;Blondeau;Belgien
Q Development AG (Q Network);Greenfield One III GmbH & Co. KG;Herr;;Nicolas;Biagosch;Liechtenstein
QUBIT Pharmaceuticals;Quantonation I FPCI;Herr;;Louis;Lagardère;Frankreich
QUBIT Pharmaceuticals;Quantonation I FPCI;Herr;;Matthieu;Montes;Frankreich
QUBIT Pharmaceuticals;Quantonation I FPCI;Herr;;Jean-Philip;Piquemal;Frankreich
QUBIT Pharmaceuticals;Quantonation I FPCI;Herr;;Jay;Ponder;Frankreich
QUBIT Pharmaceuticals;Quantonation I FPCI;Herr;;Pengyu;Ren;Frankreich
Qdrant Solutions GmbH;42Cap III GmbH & Co KG;Herr;;Andre;Zayarni;Deutschland
Qdrant Solutions GmbH;42Cap III GmbH & Co KG;Herr;;Andrey;Vasnetsov;Deutschland
Qnami AG;Quantonation I FPCI;Herr;;Patrick;Maletinsky;Schweiz
Qnami AG;Quantonation I FPCI;Herr;;Felipe;Favaro;Schweiz
Qnami AG;Quantonation I FPCI;Herr;;Alexander;Stark;Schweiz
Qnami AG;Quantonation I FPCI;Herr;;Mathieu;Munsch;Schweiz
QphoX B.V.;Quantonation I FPCI;Herr;;Simon;Groeblacher;Niederlande
QphoX B.V.;Quantonation I FPCI;Herr;;Frederick;Hijazi;Niederlande
QphoX B.V.;Quantonation I FPCI;Herr;;Robert;Stockill;Niederlande
Qu&Co BV;Quantonation I FPCI;Herr;;Vincent;Elfving;Niederlande
Qu&Co BV;Quantonation I FPCI;Herr;;Benno;Broer;Niederlande
Quandela;Quantonation I FPCI;Frau;;Pascale;Senellart;Frankreich
Quandela;Quantonation I FPCI;Herr;;Niccolo;Somaschi;Frankreich
Quandela;Quantonation I FPCI;Herr;;Valerian;Giesz;Frankreich
Quantum Benchmark Inc.;Quantonation I FPCI;Herr;;Joseph;Emerson;Vereinigte Staaten von Amerika (USA)
Quantum Benchmark Inc.;Quantonation I FPCI;Herr;;Joel;Wallman;Vereinigte Staaten von Amerika (USA)
Quantum Catalyzer;Quantonation I FPCI;Herr;;Ronald;Walsworth;""
Quarterback;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Alexander;Mazyarik;Vereinigte Staaten von Amerika (USA)
Quarterback;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Dror;Cohen;Vereinigte Staaten von Amerika (USA)
Quarterback;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Jonathan;Weinberg;Vereinigte Staaten von Amerika (USA)
Quarterback;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Yevgeni;Volovich;Vereinigte Staaten von Amerika (USA)
Queens Gaming;BITKRAFT ESPORTS VENTURES I, L.P. (KY);Frau;;Alisa;Jacobs;Vereinigte Staaten von Amerika (USA)
Queens Gaming;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";;Justin J.;Giangrande;Vereinigte Staaten von Amerika (USA)
Qunnect;Quantonation I FPCI;Herr;;Mehdi;Namazi;Vereinigte Staaten von Amerika (USA)
Qunnect;Quantonation I FPCI;Herr;;Mael;Flament;Vereinigte Staaten von Amerika (USA)
Raid Base, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Ratio Technologies Inc.;Honeystone Ventures Fund LP;Herr;;Ashish;Srimal;Vereinigte Staaten von Amerika (USA)
Ratio Technologies Inc.;Honeystone Ventures Fund LP;Herr;;Mason;Blake;Vereinigte Staaten von Amerika (USA)
Razor Group GmbH;Redalpine Opportunity Fund SCS;Herr;;Tushar;Ahluwalia;Deutschland
Razor Group GmbH;Redalpine Opportunity Fund SCS;Herr;;Christoph;Gamon;Deutschland
ReaQta;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Ready Makers Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;David;Bennahum;Vereinigte Staaten von Amerika (USA)
RealFevr;ADvantage Sports Tech Fund LP;Herr;;Bruno Filipe;Lourenco Coelho;Portugal
RealFevr;ADvantage Sports Tech Fund LP;Herr;;Jose;Santos;Portugal
RealFevr;ADvantage Sports Tech Fund LP;Herr;;Tiago;Bem;Portugal
RealFevr;ADvantage Sports Tech Fund LP;Herr;;Tiago;Dias;Portugal
Redpill VR;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Rob;Stromberg;Vereinigte Staaten von Amerika (USA)
Redpill VR;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Sébastien;Deguy;Vereinigte Staaten von Amerika (USA)
Resolution Games AB;BITKRAFT Ventures Opportunity Fund I, L.P;Herr;;Tommy;Palm;Schweden
Retina AI Inc.;Alpha Intelligence Capital Fund 1;Herr;;Emad;Hasan;Vereinigte Staaten von Amerika (USA)
Return Entertainment Oy;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
RheoCube;JOIN Capital Fund I GmbH & Co. KG;Herr;;Eric;Lorenz;Niederlande
Rigetti;Alpha Intelligence Capital Fund 1;;;Chad;Rigetti;Vereinigte Staaten von Amerika (USA)
Robinhood Financial LLC;Redalpine Opportunity Fund SCS;Herr;;Vlad;Tenev;Vereinigte Staaten von Amerika (USA)
Robinhood Financial LLC;Redalpine Opportunity Fund SCS;Herr;;Baiju;Bhatt;Vereinigte Staaten von Amerika (USA)
Room;Nordic Eye II SCSp;Herr;;Brian;Chen;Vereinigte Staaten von Amerika (USA)
Room;Nordic Eye II SCSp;Herr;;Henrik;Zillmer;Vereinigte Staaten von Amerika (USA)
Room;Nordic Eye II SCSp;Herr;;Morten;Meisner-Jensen;Vereinigte Staaten von Amerika (USA)
Rooter;ADvantage Sports Tech Fund LP;Herr;;Piyush;Kumar;India
Rooter;ADvantage Sports Tech Fund LP;Herr;;Dipesh;Agarwal;India
Rosie Reality;Redalpine Capital S.C.S., SICAR III;;;Peter;Spence;Schweiz
Rosie Reality;Redalpine Capital S.C.S., SICAR III;;;Sélim;Benayat;Schweiz
Rosie Reality;Redalpine Capital S.C.S., SICAR III;;;Mugeeb;Hassan;Schweiz
Rosie Reality;Redalpine Capital S.C.S., SICAR III;;;Florian;Maushart;Schweiz
Roundhill Financial, Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Tim;Maloney;Vereinigte Staaten von Amerika (USA)
Roundhill Financial, Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Will;Hershey;Vereinigte Staaten von Amerika (USA)
Ruckus Games, Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;Christofer;Strasz;Vereinigte Staaten von Amerika (USA)
Ruckus Games, Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;Scott;Kester;Vereinigte Staaten von Amerika (USA)
Runtime GmbH;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Raul;Cid;Deutschland
SENCURE B.V.;Cottonwood Technology Fund III;Herr;;Jurryt;Vellinga;Niederlande
SPATIAL;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Calin;Pacurariu;Vereinigte Staaten von Amerika (USA)
SPATIAL;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Michael;Plitkins;Vereinigte Staaten von Amerika (USA)
SPENDIT;Reimann Investor Management GmbH & Co. 2016 KG;;;Ralph;Meyer;Deutschland
SPENDIT;Reimann Investor Management GmbH & Co. 2016 KG;;;Florian;Gottschaller;Deutschland
SWISSCLEAR GLOBAL INC.(TAPPP);ADvantage Sports Tech Fund LP;Herr;;Sundip;Agarwal;Vereinigte Staaten von Amerika (USA)
Samudai Technologies Pte Ltd;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Sanctuary Ventures, Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;Ross;Clark;Vereinigte Staaten von Amerika (USA)
Sarcophagus;Greenfield One III GmbH & Co. KG;Herr;;Parker;McCurley;""
